Plant Type,SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1,Georeference
Municipal,NY0262102,CAYUGA AND AURELIUS JOINT WWTP,Surface,0.13,RIVER RD,AURELIUS,NY,USA,,42.95,-76.73,"(42.95, -76.73)",POINT (-76.73 42.95)
Industrial,NY0008087,AVNET INC (FORMER IMPERIAL SCHRADE SITE),Surface,0.04,RTE 209,ELLENVILLE,NY,USA,12428,41.72,-74.38,"(41.72, -74.38)",POINT (-74.38 41.72)
Municipal,NY0270091,BEAVER FALLS SEWER DISTRICT,Surface,0.02,MAIN ST,BEAVER FALLS,NY,USA,13305,43.89,-75.44,"(43.89, -75.44)",POINT (-75.44 43.89)
Municipal,NY0026824,TULLY - V STP,Surface,0.23,GROVE ST,TULLY,NY,USA,13159,42.79,-76.11,"(42.79, -76.11)",POINT (-76.11 42.79)
Industrial,NY0025453,CALVERTON STP,Surface,0.01,4062 GRUMMAN BLVD|135.20-1-12,CALVERTON,NY,USA,11933,40.92,-72.75,"(40.92, -72.75)",POINT (-72.75 40.92)
Industrial,NY0266345,OK LAUNDROMAT,Ground,,916 SUFFOLK AVE,BRENTWOOD,NY,USA,11717,40.78,-73.24,"(40.78, -73.24)",POINT (-73.24 40.78)
Municipal,NY0031518,GOSHEN (V) WWTF,Surface,2.00,END OF CYPRESS RD - WEST OF ST RTE 17,GOSHEN,NY,USA,10924,41.40,-74.34,"(41.4, -74.34)",POINT (-74.34 41.4)
Municipal,NY0235890,VILLAGE OF ANTWERP WWTP,Surface,0.12,206 MAIN ST,ANTWERP,NY,USA,13608,44.20,-75.61,"(44.2, -75.61)",POINT (-75.61 44.2)
Industrial,NY0068292,SAPUTO CHEESE USA Inc,Surface,0.92,40236 ST RTE 10,DELHI,NY,USA,13753,42.25,-74.96,"(42.25, -74.96)",POINT (-74.96 42.25)
Municipal,NY0022454,MONTICELLO STP,Surface,3.10,WAVERLY AVE,MONTICELLO,NY,USA,12701,41.64,-74.67,"(41.64, -74.67)",POINT (-74.67 41.64)
Industrial,NY0000311,PACTIV LLC,Surface,0.11,5250 NORTH ST,CANANDAIGUA,NY,USA,14424,42.91,-77.30,"(42.91, -77.3)",POINT (-77.3 42.91)
Industrial,NY0281131,YASGUR RD CAMPGROUND,Surface,0.01,34 Yasgur Rd,Bethel,NY,USA,12726,41.69,-74.91,"(41.69, -74.91)",POINT (-74.91 41.69)
Industrial,NY0281280,MOHEGAN LAKE,Surface,,MOHEGAN LAKE,YORKTOWN,NY,USA,10598,41.31,-73.85,"(41.31, -73.85)",POINT (-73.85 41.31)
Municipal,NY0023965,CLYDE - V STP,Surface,0.40,45 FORD ST,CLYDE,NY,USA,14433,43.08,-76.87,"(43.08, -76.87)",POINT (-76.87 43.08)
Industrial,NY0223794,FANE CROPSEYVILLE QUARRY,Surface,0.01,CAMEL HILL RD,BRUNSWICK & GRAFTON,NY,USA,,42.78,-73.52,"(42.78, -73.52)",POINT (-73.52 42.78)
Industrial,NY0004308,BELGIOIOSO CHEESE INC,Surface,0.45,8600 MAIN ST,CAMPBELL,NY,USA,14821,42.23,-77.19,"(42.23, -77.19)",POINT (-77.19 42.23)
